2025-10-13 05:06:30,879 INFO    MainThread:3566892 [wandb_setup.py:_flush():81] Current SDK version is 0.22.2
2025-10-13 05:06:30,880 INFO    MainThread:3566892 [wandb_setup.py:_flush():81] Configure stats pid to 3566892
2025-10-13 05:06:30,880 INFO    MainThread:3566892 [wandb_setup.py:_flush():81] Loading settings from /home/odin/.config/wandb/settings
2025-10-13 05:06:30,880 INFO    MainThread:3566892 [wandb_setup.py:_flush():81] Loading settings from /home/odin/achal/Evolutionary-Algorithms-and-Machine-Learning/Assignment_1/wandb/settings
2025-10-13 05:06:30,880 INFO    MainThread:3566892 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-10-13 05:06:30,880 INFO    MainThread:3566892 [wandb_init.py:setup_run_log_directory():705] Logging user logs to /home/odin/achal/Evolutionary-Algorithms-and-Machine-Learning/Assignment_1/wandb/run-20251013_050630-qtko2cqs/logs/debug.log
2025-10-13 05:06:30,880 INFO    MainThread:3566892 [wandb_init.py:setup_run_log_directory():706] Logging internal logs to /home/odin/achal/Evolutionary-Algorithms-and-Machine-Learning/Assignment_1/wandb/run-20251013_050630-qtko2cqs/logs/debug-internal.log
2025-10-13 05:06:30,880 INFO    MainThread:3566892 [wandb_init.py:init():832] calling init triggers
2025-10-13 05:06:30,880 INFO    MainThread:3566892 [wandb_init.py:init():837] wandb.init called with sweep_config: {}
config: {'experiment_name': 'odin_1000_individuals', 'device': 'odin', 'problem_id': '1.1', 'run_number': 1, 'population_size': 100, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.5, 'tournament_size': 10, 'timestamp': '20251013_050630', 'sequence_length': 78, 'structure_length': 78, '_wandb': {}}
2025-10-13 05:06:30,880 INFO    MainThread:3566892 [wandb_init.py:init():880] starting backend
2025-10-13 05:06:31,082 INFO    MainThread:3566892 [wandb_init.py:init():883] sending inform_init request
2025-10-13 05:06:31,085 INFO    MainThread:3566892 [wandb_init.py:init():891] backend started and connected
2025-10-13 05:06:31,085 INFO    MainThread:3566892 [wandb_init.py:init():961] updated telemetry
2025-10-13 05:06:31,087 INFO    MainThread:3566892 [wandb_init.py:init():985] communicating run to backend with 90.0 second timeout
2025-10-13 05:06:31,408 INFO    MainThread:3566892 [wandb_init.py:init():1036] starting run threads in backend
2025-10-13 05:06:31,441 INFO    MainThread:3566892 [wandb_run.py:_console_start():2509] atexit reg
2025-10-13 05:06:31,441 INFO    MainThread:3566892 [wandb_run.py:_redirect():2357] redirect: wrap_raw
2025-10-13 05:06:31,441 INFO    MainThread:3566892 [wandb_run.py:_redirect():2426] Wrapping output streams.
2025-10-13 05:06:31,441 INFO    MainThread:3566892 [wandb_run.py:_redirect():2449] Redirects installed.
2025-10-13 05:06:31,443 INFO    MainThread:3566892 [wandb_init.py:init():1076] run started, returning control to user process
2025-10-13 05:08:11,293 INFO    MainThread:3566892 [wandb_run.py:_finish():2275] finishing run rna-folding-ea-ml/RNA-Folding-EA/qtko2cqs
2025-10-13 05:08:11,294 INFO    MainThread:3566892 [wandb_run.py:_atexit_cleanup():2474] got exitcode: 0
2025-10-13 05:08:11,294 INFO    MainThread:3566892 [wandb_run.py:_restore():2456] restore
2025-10-13 05:08:11,294 INFO    MainThread:3566892 [wandb_run.py:_restore():2462] restore done
2025-10-13 05:08:11,736 INFO    MainThread:3566892 [wandb_run.py:_footer_sync_info():3872] logging synced files
